2026-04-03 17:32:55 | INFO     | root | [5/100]trajectory angle_error: [-425.161  241.107  -48.562  292.118  468.72  -173.911], begin_angle: [-314.683  215.861  -17.834  108.498   33.52  -136.629], end_angle: [  65.161   23.893 -126.438  -27.118 -307.619  -27.405]
2026-04-03 17:32:55 | INFO     | root | [6/100]trajectory angle_error: [ -95.322   96.608 -179.27   294.057  147.943 -209.503], begin_angle: [-164.699  136.14  -128.289  -35.324 -226.956  217.28 ], end_angle: [ -17.872  168.392    4.27   -29.057 -252.788   51.29 ]
2026-04-03 17:32:56 | INFO     | root | [7/100]trajectory angle_error: [-234.234  298.986 -278.729  117.501 -526.908 -293.095], begin_angle: [ -40.843  114.382  103.261  -58.475 -348.815  356.999], end_angle: [100.562 -33.986 103.729 147.499 277.566  25.369]
2026-04-03 17:32:56 | INFO     | root | [8/100]trajectory angle_error: [-112.797  349.512  -64.438   71.163  612.077 -317.793], begin_angle: [262.556 202.189 -48.072  22.902 200.176 215.193], end_angle: [ 194.23   -84.512 -110.562  193.837 -318.256  -42.207]
2026-04-03 17:32:56 | INFO     | root | [9/100]trajectory angle_error: [-103.505  153.615 -236.554  300.964 -383.038   -4.196], begin_angle: [226.454 -39.164 168.707 262.565  86.213 -79.433], end_angle: [ 222.533  111.385   61.554  -35.964  155.825 -284.856]
2026-04-03 17:32:57 | INFO     | root | [10/100]trajectory angle_error: [-555.128  157.488 -288.057  149.971  229.753  -53.908], begin_angle: [-49.791 259.869 -55.896  77.267 262.017   2.504], end_angle: [ 321.017  107.512  113.057  115.029 -217.748 -294.696]
2026-04-03 17:32:57 | INFO     | root | [11/100]trajectory angle_error: [-417.807   73.949   14.295 -203.769 -557.965 -447.848], begin_angle: [  21.933  108.491  -47.864   -8.579 -279.225   18.729], end_angle: [  57.807   15.742 -155.284  118.769  197.965  160.769]
2026-04-03 17:32:58 | INFO     | root | [12/100]trajectory angle_error: [-417.165   52.746 -261.473  162.13  -654.244   27.056], begin_angle: [-275.497  175.788 -162.659  221.766 -328.702  -89.071], end_angle: [ 183.578  212.254   86.473  102.87   294.244 -300.947]
2026-04-03 17:32:58 | INFO     | root | [13/100]trajectory angle_error: [ -41.985  175.06  -194.199   19.311   27.823 -573.312], begin_angle: [ -27.57    83.078 -169.955  -30.869   62.138  240.309], end_angle: [-202.147   89.94    19.199  245.689  -27.474  240.949]
2026-04-03 17:32:59 | INFO     | root | [14/100]trajectory angle_error: [-16.278 220.019 -73.556 132.796  86.386  -8.721], begin_angle: [-223.129  115.358  -77.142  156.188  153.437   51.243], end_angle: [-343.722   44.981 -101.444  132.204 -177.082 -351.279]
2026-04-03 17:32:59 | INFO     | root | [15/100]trajectory angle_error: [-279.087  329.222  -88.842  150.207  -51.152  -69.301], begin_angle: [-161.956  259.038  151.825   80.939 -217.717 -238.601], end_angle: [  18.168  -64.222  -86.158  114.793 -117.749 -150.259]
2026-04-03 17:32:59 | INFO     | root | [16/100]trajectory angle_error: [-280.347  101.05   -65.841  244.342  486.275 -480.526], begin_angle: [-93.127  91.504 -39.145 -52.913 223.287 237.529], end_angle: [  31.349  163.95  -109.159   20.658 -258.188  344.043]
